country,general_2013,general_2023,male,female,youth,young_adults,middle_age,older_adult,senior,primary,secondary,tertiary,median_income_pps
Austria,7.8,7.7,7.6,7.8,7.7,7.8,7.6,7.6,7.8,7.3,7.7,7.9,28690
Belgium,7.5,7.7,7.7,7.6,7.9,7.7,7.7,7.6,7.6,7.4,7.6,7.9,25135
Bulgaria,4.8,5.9,5.9,5.8,6.8,6.5,6.2,5.7,5.2,5,5.9,6.6,11155
Croatia,6.4,7.1,7.2,7,8.3,7.8,7.4,6.8,6.2,6.3,7.1,7.6,13438
Cyprus,6.2,7.5,7.5,7.4,8.2,7.7,7.5,7.3,6.9,6.9,7.5,7.8,20512
Czechia,6.9,7.4,7.4,7.4,8.1,7.8,7.5,7.2,6.9,7.1,7.2,7.9,16208
Denmark,8,7.5,7.4,7.6,7.3,7.2,7.3,7.5,8,7.4,7.4,7.7,22820
Estonia,6.5,7.2,7.1,7.2,7.6,7.5,7.4,7,6.8,6.9,7.1,7.4,15492
Finland,8,7.8,7.7,7.8,7.5,7.5,7.8,7.8,7.9,7.6,7.6,8,21691
France,7.1,7.1,7.2,7.1,7.7,7.4,7.1,7.1,7.1,6.8,7.1,7.5,21875
Germany,7.3,7,7,7,7.3,7.1,7.1,6.9,6.8,6.5,6.9,7.4,24086
Greece,6.2,6.9,6.9,6.8,7.4,7.1,7,6.8,6.5,6.3,6.9,7.5,11389
Hungary,6.1,7.2,7.3,7.2,7.9,7.8,7.5,7.1,6.8,6.4,7.2,7.7,10960
Ireland,7.5,7.6,7.7,7.5,7.6,7.6,7.6,7.4,7.8,7.3,7.6,7.8,21568
Italy,6.6,7.2,7.3,7.2,7.6,7.3,7.4,7.2,7,6.9,7.4,7.6,19691
Latvia,6.5,6.9,6.9,6.9,7.6,7.3,7.1,6.6,6.5,6.7,6.7,7.3,13228
Lithuania,6.7,7.2,7.1,7.2,7.9,7.8,7.4,6.8,6.7,6.8,6.8,7.7,14312
Luxembourg,7.4,7.3,7.3,7.2,7.6,7,6.9,7.3,7.8,7.1,7.3,7.3,34777
Malta,7.1,7.4,7.4,7.4,7.6,7.5,7.4,7.3,7.3,7.3,7.4,7.6,21060
Netherlands,7.8,7.6,7.6,7.6,7.4,7.6,7.5,7.6,7.8,7.4,7.6,7.7,25116
Norway,7.9,7.6,7.6,7.7,7.7,7.6,7.4,7.6,7.8,7.5,7.7,7.7,29297
Poland,7.3,7.6,7.6,7.6,7.9,7.9,7.8,7.5,7.4,7.1,7.5,7.9,16551
Portugal,6.2,7.1,7.2,7,7.8,7.4,7.3,7,6.7,6.7,7.2,7.6,13421
Romania,7.2,7.7,7.8,7.7,8.3,8,7.9,7.7,7.3,7.3,7.8,8.4,11084
Serbia,5,6.4,6.5,6.3,7.7,7.1,6.5,6,5.8,5.7,6.5,7,7752
Slovakia,7,7.3,7.3,7.2,8,7.8,7.5,7.1,6.6,6.5,7.2,8,10670
Slovenia,7,7.7,7.7,7.7,8.1,8.1,7.9,7.6,7.3,7.1,7.6,8.2,20273
Spain,6.9,7.2,7.3,7.2,7.8,7.3,7.3,7.1,7,7,7.3,7.5,19021
Sweden,7.9,7.5,7.4,7.5,7.3,7.2,7.3,7.5,7.8,7.4,7.4,7.6,22290
Switzerland,8,7.8,7.8,7.8,7.3,7.7,7.7,7.8,8.4,7.3,7.8,8,28247
Turkey,5.8,5.6,5.6,5.7,5.7,5.6,5.7,5.6,5.7,5.5,5.8,5.9,7100
EU,7,7.3,7.3,7.2,7.6,7.4,7.4,7.2,7.1,6.9,7.3,7.6,19955
